datetime,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),streamflow,is_rain
1980-01-01,0.660589372479995,0.18164358908929748,0.34196531791907514,0.4496162416439712,0.5271576934725765,0.42484689091459377,1.0
1980-01-02,0.4869408243942117,0.3329080433527176,0.46658959537572253,0.4310472889329041,0.506493514745145,0.40933543230166247,1.0
1980-01-03,0.0,0.4000725231335366,0.4892485549132948,0.4600148551621688,0.5367113661238797,0.3917592174932434,0.0
1980-01-04,0.0,0.3662955451993715,0.4742196531791907,0.49591483040356515,0.5770807072283671,0.3785928418822942,0.0
1980-01-05,0.0,0.30565814743684444,0.43375722543352596,0.5177024015845505,0.6022605042093555,0.36777922957754894,0.0
1980-01-06,0.0,0.2597133993204314,0.4129479768786127,0.5318148056449615,0.6170570857097094,0.35600175969888054,0.0
1980-01-07,0.0,0.23181885332867752,0.3729479768786127,0.5087893042832383,0.5924220677385479,0.35183066207846375,0.0
1980-01-08,0.0,0.26808042009696614,0.36254335260115605,0.472889329041842,0.551773381838278,0.34752367443353543,0.0
1980-01-09,0.6864328417214326,0.13428866893189542,0.35190751445086704,0.5092844763555335,0.5924608070468106,0.3978812754208192,1.0
1980-01-10,0.8057822200890187,0.1909372943499107,0.3139884393063584,0.43055211686060907,0.5068853635705494,0.45904603993121906,1.0
1980-01-11,0.8627994466650377,0.07915765723418258,0.2901734104046243,0.4874969051745481,0.5681569892957182,0.5505005178201932,1.0
1980-01-12,0.9187307791956864,0.1926429310090117,0.38080924855491327,0.501609309234959,0.5874213767274137,0.6891778198528488,1.0
1980-01-13,0.9047592798840499,0.040720396459796665,0.35791907514450866,0.5885120079227532,0.6811581366284251,0.8228823846295173,1.0
1980-01-14,0.8745108991220948,0.217676842289045,0.3861271676300578,0.4877444912106957,0.5728382332953686,0.7631378860272611,1.0
1980-01-15,0.6147786239813591,0.08534898400462,0.25919075144508674,0.4518445159692993,0.5292543211654432,0.7186670446666236,1.0
1980-01-16,0.5720239206850268,0.0983897178312897,0.32208092485549134,0.5137410250061897,0.5985915746188334,0.6752551493155317,1.0
1980-01-17,0.5131511374409069,0.14512684833263945,0.30450867052023123,0.46273830155979195,0.5421926553473745,0.6511645818813154,1.0
1980-01-18,0.5714279286272657,0.10788487624061566,0.22173410404624277,0.40207972270363945,0.4726810180557345,0.6322583651001477,1.0
1980-01-19,0.2828225140041181,0.34663371788501063,0.30959537572254336,0.3159197821242881,0.3751246721190384,0.6101901478033019,1.0
1980-01-20,0.0,0.4293503807464511,0.3458959537572254,0.3731121564743748,0.4400329640448101,0.5976009272030746,0.0
1980-01-21,0.0,0.450865577028969,0.47861271676300576,0.48526863084922006,0.5643198195194373,0.5836855902074003,0.0
1980-01-22,0.0,0.4958567802414752,0.5329479768786127,0.4699182966080712,0.5468740090797114,0.5745743285206116,0.0
1980-01-23,0.0,0.5095824547737682,0.5613872832369943,0.46199554345134924,0.5401959548341739,0.5630845991915866,0.0
1980-01-24,0.0,0.5137592500570785,0.5803468208092486,0.4647189898489725,0.5418102050607569,0.5505005178201932,0.0
1980-01-25,0.0,0.514685934541157,0.6027745664739884,0.49566724436741766,0.5761988846447567,0.540717000544835,0.0
1980-01-26,0.0,0.5280892840355095,0.5884393063583815,0.44466452092102,0.5191225605703137,0.5301512509798855,0.0
1980-01-27,0.0,0.5053519386508011,0.498728323699422,0.44466452092102,0.517176317857628,0.5233811972423851,0.0
1980-01-28,0.38946186653674225,0.0723082501779503,0.24277456647398843,0.45679623669225056,0.5327191566011813,0.5137789512137075,1.0
1980-01-29,0.48583162375836314,0.15599188815321186,0.27514450867052026,0.4374845258727407,0.5110133405160533,0.5034243209746528,1.0
1980-01-30,0.0,0.5280758538255953,0.4,0.3364694231245357,0.39574615886633135,0.49508881975818625,0.0
1980-01-31,0.0,0.48491115916141775,0.4046242774566474,0.4070314434265907,0.4742580559072778,0.49218929941147427,0.0
1980-02-01,0.0,0.5054996709598572,0.48485549132947975,0.46744243624659565,0.5443022672919118,0.4907153395657377,0.0
1980-02-02,0.0,0.5350729931908836,0.5826589595375722,0.5162168853676652,0.5975616138185312,0.4861922247357831,0.0
1980-02-03,0.0,0.534656656683544,0.6147976878612716,0.5493934142114384,0.6355652743088472,0.48277407638687964,0.0
1980-02-04,0.0,0.5494701782188857,0.6513294797687862,0.5523644466452091,0.639639486204007,0.4824589085885078,0.0
1980-02-05,0.0,0.517210814005023,0.6619653179190752,0.6251547412725922,0.7153793587710772,0.4907153395657377,0.0
1980-02-06,0.0,0.5252823701634457,0.6302890173410404,0.5773706362961128,0.6645704847969415,0.5009783818245614,0.0
1980-02-07,0.0,0.560926147275682,0.5126011560693642,0.3916811091854419,0.46129179563784267,0.4933567491939397,0.0
1980-02-08,0.0,0.5017929330235432,0.42890173410404625,0.4092597177519187,0.4793606964051377,0.4864986277206803,0.0
1980-02-09,0.0,0.5314199760942264,0.4642774566473988,0.404555583065115,0.4725627343678501,0.47599244483696235,0.0
1980-02-10,0.0,0.5083871660914061,0.44716763005780347,0.412478336221837,0.4804990405375051,0.4739891818336243,0.0
1980-02-11,0.0,0.5109791966048429,0.4510982658959537,0.4132210943302797,0.48158139104073266,0.46988923071184974,0.0
1980-02-12,0.0,0.48617359889335077,0.46566473988439305,0.4481307254270859,0.521482088889105,0.46743753184628206,0.0
1980-02-13,0.0,0.531460266723969,0.46219653179190756,0.39787076008913097,0.4655592247358315,0.46457876471327797,0.0
1980-02-14,0.5992359245171466,0.24496702883466073,0.3942196531791908,0.4798217380539737,0.5590524154093325,0.47958807092523825,1.0
1980-02-15,0.8462278352734303,0.08757839885037404,0.2689017341040463,0.4637286457043822,0.5433641955585273,0.49218929941147427,1.0
